"","Tail_CH","Tail_RT","Tail_SS"
"1",220,219,157
"2",191,221,130
"3",230,235,164
"4",192,230,144
"5",232,212,136
"6",186,243,158
"7",220,210,122
"8",224,238,133
"9",182,222,154
"10",185,217,155
"11",210,213,152
"12",213,238,135
"13",221,243,155
"14",198,232,160
"15",215,238,137
"16",160,202,127
"17",202,227,150
"18",225,227,150
"19",158,222,129
"20",226,237,133
"21",221,238,136
"22",157,213,137
"23",227,211,126
"24",184,190,137
"25",193,245,160
"26",196,246,140
"27",227,207,133
"28",208,209,136
"29",190,200,151
"30",185,215,131
"31",195,219,134
"32",215,198,155
"33",212,207,150
"34",206,204,164
"35",180,205,159
"36",187,230,160
"37",219,227,157
"38",179,208,160
"39",223,231,164
"40",203,222,160
"41",185,225,125
"42",192,225,154
"43",195,233,151
"44",192,214,158
"45",198,233,153
"46",214,245,131
"47",218,210,145
"48",209,229,165
"49",216,235,168
"50",193,221,156
"51",216,210,164
"52",200,212,155
"53",205,225,159
"54",192,215,156
"55",233,235,145
"56",181,209,132
"57",196,212,138
"58",213,209,153
"59",185,250,186
"60",212,235,178
"61",214,222,158
"62",183,236,133
"63",183,210,125
"64",188,239,158
"65",211,228,159
"66",187,220,132
"67",201,233,136
"68",185,236,137
"69",186,216,155
"70",184,233,155
"71",NA,248,138
"72",NA,221,130
"73",NA,227,154
"74",NA,223,132
"75",NA,219,215
"76",NA,225,218
"77",NA,238,135
"78",NA,235,221
"79",NA,222,162
"80",NA,238,150
"81",NA,229,155
"82",NA,227,149
"83",NA,245,158
"84",NA,223,148
"85",NA,210,138
"86",NA,234,158
"87",NA,219,165
"88",NA,216,160
"89",NA,230,139
"90",NA,223,144
"91",NA,220,125
"92",NA,241,135
"93",NA,223,170
"94",NA,238,146
"95",NA,235,161
"96",NA,240,137
"97",NA,220,143
"98",NA,218,128
"99",NA,234,161
"100",NA,232,131
"101",NA,221,150
"102",NA,220,136
"103",NA,232,160
"104",NA,214,135
"105",NA,225,146
"106",NA,238,155
"107",NA,238,159
"108",NA,229,132
"109",NA,202,130
"110",NA,226,161
"111",NA,220,169
"112",NA,215,164
"113",NA,122,153
"114",NA,215,151
"115",NA,208,154
"116",NA,211,169
"117",NA,220,153
"118",NA,204,137
"119",NA,229,132
"120",NA,205,155
"121",NA,244,135
"122",NA,225,124
"123",NA,239,149
"124",NA,222,154
"125",NA,209,150
"126",NA,211,147
"127",NA,216,130
"128",NA,250,153
"129",NA,260,132
"130",NA,217,123
"131",NA,228,192
"132",NA,218,132
"133",NA,220,162
"134",NA,227,152
"135",NA,211,127
"136",NA,222,122
"137",NA,225,124
"138",NA,221,158
"139",NA,231,150
"140",NA,235,133
"141",NA,235,127
"142",NA,200,127
"143",NA,216,133
"144",NA,223,135
"145",NA,210,131
"146",NA,229,157
"147",NA,226,137
"148",NA,207,163
"149",NA,238,136
"150",NA,197,142
"151",NA,250,154
"152",NA,215,156
"153",NA,214,160
"154",NA,230,149
"155",NA,213,131
"156",NA,214,137
"157",NA,224,126
"158",NA,215,165
"159",NA,239,129
"160",NA,214,156
"161",NA,232,135
"162",NA,205,129
"163",NA,243,131
"164",NA,255,160
"165",NA,276,152
"166",NA,210,132
"167",NA,231,157
"168",NA,216,119
"169",NA,210,130
"170",NA,220,124
"171",NA,260,130
"172",NA,200,140
"173",NA,230,159
"174",NA,220,138
"175",NA,220,159
"176",NA,235,136
"177",NA,215,132
"178",NA,215,131
"179",NA,221,162
"180",NA,225,163
"181",NA,238,154
"182",NA,212,161
"183",NA,215,157
"184",NA,235,158
"185",NA,229,156
"186",NA,251,133
"187",NA,215,165
"188",NA,225,153
"189",NA,210,135
"190",NA,267,129
"191",NA,220,132
"192",NA,238,131
"193",NA,248,156
"194",NA,241,139
"195",NA,212,159
"196",NA,221,154
"197",NA,233,131
"198",NA,230,156
"199",NA,223,145
"200",NA,226,156
"201",NA,208,130
"202",NA,231,130
"203",NA,217,147
"204",NA,230,141
"205",NA,225,156
"206",NA,226,153
"207",NA,214,131
"208",NA,242,155
"209",NA,220,165
"210",NA,250,132
"211",NA,220,135
"212",NA,240,134
"213",NA,230,136
"214",NA,220,154
"215",NA,234,163
"216",NA,226,151
"217",NA,218,155
"218",NA,209,156
"219",NA,228,136
"220",NA,235,158
"221",NA,223,161
"222",NA,245,153
"223",NA,235,152
"224",NA,221,163
"225",NA,216,125
"226",NA,216,134
"227",NA,200,162
"228",NA,216,123
