"","V1","V2"
"1",1.144,0.832
"2",1.07,0.828
"3",-0.783,0.164
"4",-0.867,0.176
"5",0.627,0.7
"6",4.499,0.904
"7",1.415,0.844
"8",-0.457,0.324
"9",1.27,0.868
"10",1.479,0.86
"11",-0.772,0.192
"12",-0.587,0.288
"13",-1.805,0.04
"14",0.08,0.548
"15",0.693,0.732
"16",-1.321,0.072
"17",0.313,0.624
"18",0.751,0.772
"19",-0.868,0.152
"20",-0.365,0.348
"21",0.386,0.64
"22",-0.158,0.476
"23",0.561,0.66
"24",-0.087,0.412
"25",0.962,0.724
"26",1.432,0.892
"27",-0.151,0.388
"28",0.42,0.604
"29",1.055,0.792
"30",-1.209,0.068
"31",-1.072,0.128
"32",0.104,0.544
"33",-0.225,0.384
"34",0.8,0.764
"35",0.477,0.652
"36",1.089,0.732
"37",-0.978,0.164
"38",1.664,0.812
"39",2.055,0.908
"40",-0.365,0.316
"41",0.697,0.74
"42",3.514,0.948
"43",-0.921,0.12
"44",1.076,0.76
"45",-0.486,0.3
"46",0.137,0.524
"47",-0.976,0.12
"48",-0.035,0.496
"49",-1.607,0.064
"50",2.672,0.96
"51",0.001,0.412
"52",0.249,0.596
"53",-0.471,0.308
"54",0.541,0.624
"55",-0.137,0.44
"56",1.047,0.816
"57",-0.175,0.42
"58",-0.689,0.24
"59",-0.208,0.412
"60",-1.574,0.064
"61",0.073,0.52
"62",-1.192,0.104
"63",3.359,0.98
"64",-0.041,0.428
"65",-0.506,0.332
"66",0.762,0.748
"67",-0.735,0.232
"68",1.372,0.856
"69",0.109,0.56
"70",-1.611,0.064
"71",-0.798,0.2
"72",-0.534,0.244
"73",-0.617,0.236
"74",0.671,0.724
"75",-1.5,0.032
"76",-0.302,0.368
"77",-0.793,0.24
"78",2.322,0.956
"79",0.297,0.572
"80",2.979,0.964
"81",0.144,0.52
"82",0.231,0.556
"83",1.462,0.888
"84",0.843,0.728
"85",-0.508,0.308
"86",-0.637,0.196
"87",1.269,0.8
"88",0.534,0.652
"89",-0.342,0.324
"90",0.164,0.456
"91",-1.023,0.212
"92",0.611,0.712
"93",0.329,0.576
"94",2.476,0.92
"95",-0.198,0.428
"96",0.154,0.52
"97",-0.161,0.364
"98",0.198,0.52
"99",0.502,0.684
"100",1.138,0.848
"101",-0.266,0.452
"102",-1.077,0.08
"103",0.34,0.54
"104",0.015,0.48
"105",0.309,0.608
"106",0.968,0.788
"107",0.589,0.648
"108",-0.869,0.192
"109",0.655,0.664
"110",-1.566,0.036
"111",-1.521,0.06
"112",0.273,0.608
"113",-1.27,0.072
"114",2.16,0.904
"115",-0.855,0.252
"116",-1.121,0.108
"117",0.834,0.744
"118",0.944,0.732
"119",0.342,0.62
"120",1.105,0.812
"121",-0.862,0.152
"122",0.562,0.748
"123",-1.021,0.092
"124",-0.569,0.288
"125",-0.272,0.328
"126",0.289,0.612
"127",2.235,0.916
"128",-0.595,0.28
"129",-0.487,0.264
"130",-0.755,0.184
"131",0.429,0.592
"132",-1.712,0.064
"133",-1.945,0.112
"134",0.538,0.66
"135",-0.285,0.404
"136",0.28,0.564
"137",-0.442,0.32
"138",0.936,0.744
"139",0.101,0.576
"140",2.294,0.884
"141",-0.702,0.188
"142",-0.281,0.356
"143",-0.79,0.208
"144",0.307,0.628
"145",1.904,0.908
"146",-0.663,0.292
"147",0.879,0.752
"148",-0.93,0.172
"149",-0.014,0.412
"150",0.546,0.636
"151",0.199,0.536
"152",-0.996,0.164
"153",-0.615,0.252
"154",-0.377,0.372
"155",3.053,0.884
"156",-0.233,0.452
"157",0.127,0.468
"158",-0.404,0.328
"159",-1.082,0.2
"160",1.277,0.852
"161",-0.837,0.232
"162",1.921,0.888
"163",1.175,0.836
"164",-0.238,0.388
"165",-0.361,0.344
"166",-0.202,0.308
"167",3.016,0.964
"168",-1.572,0.036
"169",0.438,0.62
"170",-0.057,0.452
"171",1.577,0.844
"172",-0.501,0.3
"173",-0.537,0.268
"174",1.599,0.884
"175",-0.531,0.244
"176",-1.506,0.028
"177",-0.093,0.476
"178",1.51,0.88
"179",0.404,0.656
"180",0.045,0.548
"181",-0.821,0.152
"182",1.358,0.788
"183",-0.307,0.316
"184",-1.46,0.044
"185",-0.38,0.312
"186",-0.248,0.352
"187",-0.794,0.152
"188",0.107,0.516
"189",0.533,0.664
"190",0.412,0.572
"191",-1.15,0.12
"192",-0.906,0.18
"193",-0.232,0.332
"194",0.672,0.64
"195",1.328,0.876
"196",-0.814,0.228
"197",-0.962,0.128
"198",0.484,0.672
"199",-0.55,0.256
"200",-1.716,0.036
"201",-0.381,0.248
"202",3.577,0.984
"203",1.08,0.832
"204",0.98,0.748
"205",0.248,0.624
"206",0.097,0.516
"207",1.662,0.848
"208",-1.761,0.052
"209",-0.983,0.156
"210",3.283,0.92
"211",-0.243,0.388
"212",-1.203,0.116
"213",1.693,0.924
"214",0.339,0.632
"215",-1.719,0.028
"216",1.984,0.916
"217",-1.866,0.08
"218",-0.696,0.228
"219",2.025,0.924
"220",1.7,0.904
"221",0.144,0.512
"222",-0.956,0.144
"223",-1.384,0.056
"224",0.345,0.628
"225",0.9,0.728
"226",1.201,0.82
"227",-0.455,0.276
"228",-0.714,0.26
"229",0.235,0.572
"230",-1.419,0.06
"231",1.621,0.912
"232",2.301,0.932
"233",0.615,0.708
"234",-1.681,0.032
"235",0.459,0.624
"236",-0.178,0.424
"237",1.13,0.812
"238",-0.708,0.228
"239",-1.745,0.036
"240",1.357,0.872
"241",-0.143,0.444
"242",-0.307,0.38
"243",2.208,0.944
"244",-0.565,0.236
"245",-1.516,0.092
"246",-1.41,0.056
"247",-0.455,0.332
"248",0.864,0.716
"249",-1.704,0.1
"250",2.354,0.964
"251",-1.185,0.08
"252",-0.787,0.164
"253",2.212,0.92
"254",-0.449,0.244
"255",-1.067,0.124
"256",-0.994,0.136
"257",3.94,0.988
"258",-0.737,0.212
"259",1.044,0.812
"260",0.282,0.564
"261",-0.305,0.38
"262",-1.34,0.124
"263",0.071,0.508
"264",0.373,0.58
"265",0.734,0.668
"266",1.532,0.808
"267",-0.124,0.4
"268",0.392,0.584
"269",1.058,0.772
"270",0.931,0.792
"271",1.847,0.94
"272",0.824,0.764
"273",1.472,0.892
"274",-0.251,0.384
"275",1.035,0.756
"276",0.143,0.54
"277",-0.32,0.36
"278",2.331,0.96
"279",-0.582,0.232
"280",0.914,0.668
"281",-0.58,0.296
"282",2.503,0.868
"283",0.033,0.564
"284",-0.085,0.4
"285",0.383,0.6
"286",1.374,0.864
"287",0.346,0.568
"288",1.878,0.888
"289",2.702,0.964
"290",2.039,0.864
"291",0.39,0.636
"292",-0.777,0.248
"293",0.288,0.544
"294",-1.198,0.096
"295",-0.146,0.452
"296",1.027,0.812
"297",-0.76,0.184
"298",0.108,0.5
"299",-0.192,0.38
"300",-0.195,0.432
"301",1.977,0.94
"302",1.711,0.904
"303",-1.15,0.092
"304",1.119,0.832
"305",0.949,0.792
"306",1.467,0.828
"307",-1.438,0.1
"308",-0.044,0.404
"309",0.505,0.652
"310",0.271,0.568
"311",0.191,0.556
"312",0.498,0.644
"313",0.847,0.72
"314",0.209,0.58
"315",-0.319,0.36
"316",-1.09,0.128
"317",0.676,0.744
"318",-0.912,0.144
"319",0.665,0.68
"320",-0.783,0.224
"321",0.769,0.74
"322",-1.674,0.048
"323",-0.634,0.248
"324",1.131,0.828
"325",0.666,0.672
"326",-0.451,0.252
"327",0.271,0.576
"328",0.74,0.684
"329",0.09,0.484
"330",-0.496,0.252
"331",-0.285,0.316
"332",1.476,0.86
"333",1.497,0.868
"334",0.067,0.432
"335",0.121,0.508
"336",3.213,0.864
"337",-0.194,0.408
"338",0.692,0.712
"339",-0.519,0.252
"340",-1.203,0.1
"341",0.583,0.688
"342",1.374,0.884
"343",-0.582,0.248
"344",-0.091,0.432
"345",-0.143,0.42
"346",-0.599,0.26
"347",0.432,0.62
"348",-1.553,0.084
"349",0.539,0.656
"350",-0.355,0.344
"351",0.294,0.6
"352",1.056,0.72
"353",-0.98,0.112
"354",0.717,0.716
"355",0.395,0.632
"356",-0.46,0.308
"357",0.91,0.792
"358",1.136,0.816
"359",-0.167,0.4
"360",-0.718,0.184
"361",0.914,0.812
"362",1.916,0.9
"363",0.743,0.712
"364",0.084,0.476
"365",-1.222,0.116
"366",1.963,0.9
"367",-0.924,0.132
"368",0.141,0.572
"369",0.051,0.492
"370",-0.518,0.268
"371",-0.046,0.388
"372",0.119,0.46
"373",1.606,0.78
"374",-1.401,0.04
"375",2.684,0.96
"376",-0.427,0.344
"377",0.726,0.704
"378",1.054,0.78
"379",0.271,0.564
"380",0.352,0.604
"381",0.97,0.8
"382",1.396,0.832
"383",2.602,0.944
"384",0.222,0.508
"385",-1.753,0.068
"386",0.393,0.612
"387",-0.567,0.22
"388",2.108,0.912
"389",0.118,0.492
"390",2.223,0.912
"391",-0.611,0.312
"392",0.148,0.508
"393",2.778,0.896
"394",0.735,0.708
"395",0.525,0.672
"396",-0.268,0.3
"397",-0.198,0.392
"398",-0.197,0.42
"399",11.599,0.996
"400",-0.329,0.372
"401",-0.181,0.44
"402",-1.069,0.108
"403",-0.569,0.256
"404",-0.27,0.348
"405",0.257,0.608
"406",-0.351,0.356
"407",-0.392,0.344
"408",-0.686,0.204
"409",0.457,0.664
"410",1.62,0.928
"411",1.429,0.888
"412",0.598,0.636
"413",0.646,0.668
"414",2.532,0.94
"415",1.214,0.784
"416",-0.407,0.392
"417",-2.367,0.056
"418",-2.385,0.008
"419",-0.155,0.412
"420",2.218,0.904
"421",-0.785,0.212
"422",-1.28,0.112
"423",1.108,0.82
"424",0.13,0.516
"425",-0.766,0.204
"426",0.403,0.604
"427",0.027,0.5
"428",-0.979,0.12
"429",0.458,0.624
"430",-0.942,0.212
"431",0.945,0.736
"432",1.439,0.888
"433",1.938,0.836
"434",-0.169,0.348
"435",-0.522,0.268
"436",-0.254,0.384
"437",0.333,0.58
"438",0.377,0.6
"439",2.68,0.98
"440",0.527,0.656
"441",2.282,0.964
"442",-1.032,0.116
"443",0.709,0.684
"444",1.423,0.8
"445",-1.59,0.076
"446",0.077,0.564
"447",0.634,0.616
"448",-0.508,0.224
"449",-1.112,0.132
"450",1.383,0.836
"451",0.178,0.6
"452",-0.332,0.384
"453",3.285,0.904
"454",0.532,0.628
"455",-1.336,0.112
"456",0.239,0.6
"457",1.15,0.836
"458",0.172,0.436
"459",-0.253,0.376
"460",-0.929,0.164
"461",0.36,0.572
"462",0.434,0.58
"463",2.318,0.908
"464",0.087,0.544
"465",0.305,0.596
"466",0.048,0.456
"467",0.204,0.592
"468",-0.658,0.22
"469",0.86,0.708
"470",-1.662,0.12
"471",3.368,0.984
"472",-0.639,0.252
"473",0.048,0.536
"474",0.164,0.552
"475",1.989,0.924
"476",-2.212,0.004
"477",0.612,0.672
"478",-0.917,0.124
"479",0.189,0.496
"480",-1.585,0.056
"481",-0.091,0.444
"482",-1.178,0.104
"483",-1.206,0.16
"484",-0.253,0.392
"485",1.784,0.884
"486",-0.62,0.24
"487",-0.424,0.384
"488",0.663,0.712
"489",0.594,0.724
"490",-0.572,0.188
"491",1.857,0.916
"492",1.158,0.768
"493",1.15,0.82
"494",-1.758,0.024
"495",3.633,0.976
"496",2.31,0.956
"497",1.666,0.868
"498",-1.069,0.108
"499",-0.148,0.36
"500",1.539,0.876
"501",-0.433,0.336
"502",-0.207,0.404
"503",2.368,0.908
"504",-0.758,0.184
"505",0.106,0.544
"506",0.702,0.736
"507",-1.089,0.116
"508",-0.097,0.476
"509",0.929,0.796
"510",0.87,0.72
"511",-0.402,0.292
"512",-1.631,0.08
"513",0.666,0.612
"514",0.069,0.472
"515",-0.611,0.3
"516",-0.239,0.36
"517",0.557,0.688
"518",0.314,0.524
"519",-0.62,0.288
"520",0.297,0.552
"521",0.639,0.612
"522",0.336,0.58
"523",0.167,0.496
"524",1.978,0.92
"525",0.111,0.532
"526",-1.199,0.072
"527",0.214,0.604
"528",0.043,0.488
"529",1.525,0.9
"530",-0.133,0.404
"531",-0.915,0.14
"532",4.312,0.98
"533",0.019,0.476
"534",-0.274,0.312
"535",1.667,0.8
"536",2.133,0.92
"537",0.486,0.64
"538",1.329,0.848
"539",-1.314,0.064
"540",0.681,0.7
"541",6.797,0.988
"542",-0.122,0.416
"543",-0.097,0.396
"544",-1.186,0.148
"545",4.301,0.976
"546",0.472,0.664
"547",-0.542,0.304
"548",-0.558,0.332
"549",-0.767,0.152
"550",-0.071,0.412
"551",0.66,0.62
"552",0.032,0.524
"553",0.489,0.612
"554",-0.658,0.256
"555",-0.001,0.5
"556",-0.344,0.332
"557",0.356,0.544
"558",0.093,0.532
"559",0.988,0.768
"560",-0.215,0.392
"561",1.478,0.816
"562",-0.745,0.212
"563",0.324,0.624
"564",1.159,0.772
"565",1.183,0.784
"566",0.069,0.5
"567",-2.341,0.016
"568",0.821,0.728
"569",1.557,0.924
"570",-0.417,0.32
"571",0.423,0.568
"572",-1.048,0.112
"573",-0.201,0.408
"574",-1.616,0.092
"575",0.977,0.74
"576",-0.061,0.428
"577",-0.359,0.36
"578",0.03,0.444
"579",0.206,0.544
"580",-1.57,0.052
"581",-1.882,0.024
"582",-0.31,0.348
"583",-0.2,0.44
"584",-0.927,0.132
"585",-0.14,0.416
"586",6.426,0.988
"587",1.455,0.796
"588",-0.467,0.344
"589",0.214,0.536
"590",0.121,0.504
"591",-1.076,0.112
"592",-0.523,0.26
"593",-0.238,0.388
"594",-0.188,0.432
"595",-0.308,0.3
"596",-0.548,0.224
"597",2.2,0.904
"598",-1.019,0.148
"599",-0.086,0.452
"600",0.715,0.708
"601",0.513,0.676
"602",-0.916,0.188
"603",0.509,0.724
"604",-0.777,0.184
"605",-1.028,0.12
"606",-0.163,0.348
"607",1.825,0.912
"608",0.936,0.788
"609",-0.847,0.236
"610",0.948,0.756
"611",-0.166,0.424
"612",-0.459,0.304
"613",-0.244,0.404
"614",0.668,0.664
"615",0.201,0.544
"616",-1.586,0.048
"617",-0.248,0.352
"618",0.501,0.636
"619",-0.027,0.404
"620",-0.994,0.12
"621",1.553,0.9
"622",0.986,0.804
"623",0.395,0.664
"624",0.326,0.612
"625",-0.579,0.208
"626",0.004,0.508
"627",-0.61,0.192
"628",0.061,0.348
"629",0.15,0.516
"630",1.833,0.94
"631",-0.172,0.476
"632",-0.411,0.344
"633",1.312,0.824
"634",-0.249,0.436
"635",1.583,0.872
"636",-0.746,0.136
"637",0.334,0.552
"638",2.246,0.968
"639",-0.298,0.344
"640",-0.213,0.432
"641",-0.665,0.212
"642",2.006,0.912
"643",1.653,0.872
"644",0.621,0.676
"645",-1.736,0.036
"646",-0.283,0.376
"647",-0.038,0.472
"648",2.06,0.928
"649",1.043,0.776
"650",6.828,0.996
"651",-1.116,0.112
"652",0.452,0.616
