"","Date","location","operator","planeType","Dead","Aboard","Ground"
"1","1908-09-17","Fort Myer, Virginia","Military - U.S. Army","Wright Flyer III",1,2,0
"2","1912-07-12","Atlantic City, New Jersey","Military - U.S. Navy","Dirigible",5,5,0
"3","1913-08-06","Victoria, British Columbia, Canada","Private","Curtiss seaplane",1,1,0
"4","1913-09-09","Over the North Sea","Military - German Navy","Zeppelin L-1 (airship)",14,20,0
"5","1913-10-17","Near Johannisthal, Germany","Military - German Navy","Zeppelin L-2 (airship)",30,30,0
"6","1915-03-05","Tienen, Belgium","Military - German Navy","Zeppelin L-8 (airship)",21,41,0
"7","1915-09-03","Off Cuxhaven, Germany","Military - German Navy","Zeppelin L-10 (airship)",19,19,0
"8","1916-07-28","Near Jambol, Bulgeria","Military - German Army","Schutte-Lanz S-L-10 (airship)",20,20,0
"9","1916-09-24","Billericay, England","Military - German Navy","Zeppelin L-32 (airship)",22,22,0
"10","1916-10-01","Potters Bar, England","Military - German Navy","Zeppelin L-31 (airship)",19,19,0
"11","1916-11-21","Mainz, Germany","Military - German Army","Super Zeppelin (airship)",27,28,0
"12","1916-11-28","Off West Hartlepool, England","Military - German Navy","Zeppelin L-34 (airship)",20,20,0
"13","1917-03-04","Near Gent, Belgium","Military - German Army","Airship",20,20,0
"14","1917-03-30","Off Northern Germany","Military - German Navy","Schutte-Lanz S-L-9 (airship)",23,23,0
"15","1917-05-14","Near Texel Island, North Sea","Military - German Navy","Zeppelin L-22 (airship)",21,21,0
"16","1917-06-14","Off Vlieland Island, North Sea","Military - German Navy","Zeppelin L-43 (airship)",24,24,0
"17","1917-06-17","Near Yarmouth, England","?","Zepplin LZ-95 (air ship)",14,16,0
"18","1917-08-21","Off western Denmark","Military - German Navy","Zeppelin L-23 (airship)",18,18,0
"19","1917-10-20","Near Luneville, France","Military - German Navy","Zeppelin L-44 (airship)",18,18,0
"20","1918-04-07","Over the Mediterranean","Military - German Navy","Zeppelin L-59 (airship)",23,23,0
"21","1918-05-10","Off Helgoland Island, Germany","Military - German Navy","Zeppelin L-70 (airship)",22,22,0
"22","1918-08-11","Ameland Island, North Sea","Military - German Navy","Zeppelin L-53 (airship)",19,19,0
"23","1918-12-16","Elizabeth, New Jersey","US Aerial Mail Service","De Havilland DH-4",1,1,0
"24","1919-05-25","Cleveland, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0
"25","1919-07-19","Dix Run, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0
"26","1919-10-02","Newcastle, England","Aircraft Transport and Travel","De Havilland DH-4",1,1,0
"27","1919-10-14","Cantonsville, Maryland","US Aerial Mail Service","Curtiss R-4LM",1,1,0
"28","1919-10-20","English Channel","Aircraft Transport and Travel","De Havilland DH-4",NA,NA,NA
"29","1919-10-30","Long Valley, New Jersey","US Aerial Mail Service","De Havilland DH.4",1,1,0
"30","1920-03-10","New Paris, Indiana","US Aerial Mail Service","De Havilland DH-4",1,1,0
"31","1920-03-30","Newark, New Jersey","US Aerial Mail Service","De Havilland DH-4",1,1,0
"32","1920-04-10","Newark, New Jersey","US Aerial Mail Service","Curtiss R-4LM",1,2,0
"33","1920-04-11","Heller Field, New Jersey","US Aerial Mail Service","Curtiss JN-4H",1,2,0
"34","1920-05-12","Oskaloosa, Iowa","US Aerial Mail Service","De Havilland DH-4",1,2,0
"35","1920-06-06","Cleveland, Ohio","US Aerial Mail Service","De Havilland DH-4",1,1,0
"36","1920-08-16","College Park, Maryland","US Aerial Mail Service","De Havilland DH-4",1,1,0
"37","1920-08-16","Bedford, England","By Air","Armstrong-Whitworth F-K-8",1,1,0
"38","1920-09-01","Morristown, New Jersey","US Aerial Mail Service","Junkers JL-6",2,2,0
"39","1920-09-15","Pemberville, Ohio","US Aerial Mail Service","Junkers F-13",2,2,0
"40","1920-09-27","Hillersburg, Pennsylvania","US Aerial Mail Service","De Havilland DH-4",1,1,0
"41","1920-10-02","Off Port Vendres, France","Latecoere Airlines","Salmson 2-A-2",2,2,0
"42","1920-10-05","Valencia, Spain","Latecoere Airlines","Breguet 14",2,2,0
"43","1920-10-15","Batavia, Illinois","US Aerial Mail Service","De Havilland DH-4",1,1,0
"44","1920-11-07","Tie Siding, Wyoming","US Aerial Mail Service","De Havilland DH-4",1,1,0
"45","1920-12-14","London, England","Handley Page Transport","Handley Page HP-16",4,8,0
"46","1920-12-24","Barcelona, Spain","Aeropostale","Breguet 14",1,1,0
"47","1921-02-03","Mendotta, Minnisota","US Aerial Mail Service","De Havilland DH-4",1,1,0
"48","1921-02-09","La Crosse, Wisconsin","US Aerial Mail Service","Junkers F-13",3,3,0
"49","1921-02-15","Off Gibraltar","Aeropostale","Breguet 14",2,2,0
"50","1921-02-22","Elko, Nevada","US Aerial Mail Service","De Havilland DH-4",1,1,0
