"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","A11",6,"A34","A43",1169,"A65","A75",4,"A93","A101",4,"A121",67,"A143","A152",2,"A173","good","A192","A201",1
"2","A12",48,"A32","A43",5951,"A61","A73",2,"A92","A101",2,"A121",22,"A143","A152",1,"A173","good","A191","A201",2
"3","A14",12,"A34","A46",2096,"A61","A74",2,"A93","A101",3,"A121",49,"A143","A152",1,"A172","bad","A191","A201",1
"4","A11",42,"A32","A42",7882,"A61","A74",2,"A93","A103",4,"A122",45,"A143","A153",1,"A173","bad","A191","A201",1
"5","A11",24,"A33","A40",4870,"A61","A73",3,"A93","A101",4,"A124",53,"A143","A153",2,"A173","bad","A191","A201",2
"6","A14",36,"A32","A46",9055,"A65","A73",2,"A93","A101",4,"A124",35,"A143","A153",1,"A172","bad","A192","A201",1
"7","A14",24,"A32","A42",2835,"A63","A75",3,"A93","A101",4,"A122",53,"A143","A152",1,"A173","good","A191","A201",1
"8","A12",36,"A32","A41",6948,"A61","A73",2,"A93","A101",2,"A123",35,"A143","A151",1,"A174","good","A192","A201",1
"9","A14",12,"A32","A43",3059,"A64","A74",2,"A91","A101",4,"A121",61,"A143","A152",1,"A172","good","A191","A201",1
"10","A12",30,"A34","A40",5234,"A61","A71",4,"A94","A101",2,"A123",28,"A143","A152",2,"A174","good","A191","A201",2
"11","A12",12,"A32","A40",1295,"A61","A72",3,"A92","A101",1,"A123",25,"A143","A151",1,"A173","good","A191","A201",2
"12","A11",48,"A32","A49",4308,"A61","A72",3,"A92","A101",4,"A122",24,"A143","A151",1,"A173","good","A191","A201",2
"13","A12",12,"A32","A43",1567,"A61","A73",1,"A92","A101",1,"A123",22,"A143","A152",1,"A173","good","A192","A201",1
"14","A11",24,"A34","A40",1199,"A61","A75",4,"A93","A101",4,"A123",60,"A143","A152",2,"A172","good","A191","A201",2
"15","A11",15,"A32","A40",1403,"A61","A73",2,"A92","A101",4,"A123",28,"A143","A151",1,"A173","good","A191","A201",1
"16","A11",24,"A32","A43",1282,"A62","A73",4,"A92","A101",2,"A123",32,"A143","A152",1,"A172","good","A191","A201",2
"17","A14",24,"A34","A43",2424,"A65","A75",4,"A93","A101",4,"A122",53,"A143","A152",2,"A173","good","A191","A201",1
"18","A11",30,"A30","A49",8072,"A65","A72",2,"A93","A101",3,"A123",25,"A141","A152",3,"A173","good","A191","A201",1
"19","A12",24,"A32","A41",12579,"A61","A75",4,"A92","A101",2,"A124",44,"A143","A153",1,"A174","good","A192","A201",2
"20","A14",24,"A32","A43",3430,"A63","A75",3,"A93","A101",2,"A123",31,"A143","A152",1,"A173","bad","A192","A201",1
"21","A14",9,"A34","A40",2134,"A61","A73",4,"A93","A101",4,"A123",48,"A143","A152",3,"A173","good","A192","A201",1
