"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","J.D","D.N","DJF","MAM","JJA","SON","Year"
"1880",-41,-27,-25,-31,-31,-39,-24,-15,-30,-27,-22,-26,-28,NA,NA,-29,-26,-26,1880
"1881",-20,-27,-1,-6,-10,-33,-13,-12,-27,-30,-38,-29,-20,-20,-24,-6,-19,-32,1881
"1882",-11,-3,-10,-31,-26,-34,-28,-15,-25,-37,-36,-55,-26,-24,-14,-22,-26,-33,1882
"1883",-45,-40,-17,-22,-26,-13,-9,-24,-34,-34,-34,-28,-27,-29,-46,-22,-16,-34,1883
"1884",-26,-19,-37,-40,-38,-36,-28,-20,-32,-34,-36,-35,-32,-31,-24,-38,-28,-34,1884
"1885",-61,-35,-24,-42,-35,-42,-29,-26,-25,-27,-24,-10,-32,-34,-43,-34,-33,-25,1885
"1886",-39,-45,-34,-21,-22,-34,-8,-21,-21,-35,-34,-32,-29,-27,-31,-26,-21,-30,1886
"1887",-65,-54,-36,-42,-30,-22,-9,-27,-26,-41,-35,-40,-35,-35,-50,-36,-19,-34,1887
"1888",-43,-48,-46,-35,-28,-25,-19,-23,-19,-11,-5,-21,-27,-28,-44,-36,-22,-11,1888
"1889",-22,8,-2,-4,-7,-13,-17,-25,-21,-32,-37,-33,-17,-16,-12,-4,-18,-30,1889
"1890",-49,-42,-35,-36,-51,-39,-30,-37,-39,-25,-51,-34,-39,-39,-41,-40,-36,-38,1890
"1891",-49,-53,-18,-31,-22,-23,-24,-20,-18,-25,-38,-9,-27,-30,-45,-24,-22,-27,1891
"1892",-37,-12,-34,-44,-33,-22,-30,-29,-21,-28,-43,-46,-32,-29,-19,-37,-27,-31,1892
"1893",-82,-58,-20,-36,-38,-28,-10,-27,-26,-17,-19,-33,-33,-34,-62,-31,-21,-21,1893
"1894",-49,-33,-24,-43,-35,-43,-19,-24,-35,-27,-37,-28,-33,-33,-38,-34,-28,-33,1894
"1895",-55,-49,-30,-26,-29,-21,-18,-18,-11,-16,-13,-19,-25,-26,-44,-28,-19,-13,1895
"1896",-23,-17,-30,-37,-14,-12,-4,-8,-8,3,-13,-10,-14,-15,-20,-27,-8,-6,1896
"1897",-17,-15,-17,-6,-2,-11,-4,-7,-12,-11,-21,-13,-11,-11,-14,-8,-7,-14,1897
"1898",-1,-24,-48,-27,-35,-17,-20,-22,-21,-29,-38,-27,-26,-24,-13,-36,-20,-29,1898
"1899",-21,-38,-28,-16,-15,-26,-9,-7,-8,-2,13,-27,-16,-15,-29,-20,-14,1,1899
"1900",-34,5,-2,-10,-7,-7,-8,-9,-5,1,-14,-7,-8,-10,-19,-6,-8,-6,1900
"1901",-20,-2,2,-2,-14,-13,-14,-17,-21,-26,-22,-26,-15,-13,-9,-5,-15,-23,1901
"1902",-14,5,-22,-24,-28,-27,-17,-26,-25,-32,-41,-44,-25,-23,-12,-25,-24,-33,1902
"1903",-25,6,-13,-36,-32,-42,-27,-38,-43,-41,-31,-42,-30,-31,-21,-27,-36,-38,1903
"1904",-54,-46,-33,-41,-40,-33,-33,-33,-38,-30,-11,-23,-34,-36,-47,-38,-33,-26,1904
"1905",-29,-53,-19,-31,-28,-24,-20,-17,-16,-24,-8,-20,-24,-24,-35,-26,-20,-16,1905
"1906",-26,-29,-18,-2,-20,-14,-21,-11,-20,-14,-36,-12,-19,-19,-25,-13,-15,-23,1906
"1907",-42,-48,-26,-45,-49,-43,-37,-39,-28,-25,-43,-41,-39,-36,-34,-40,-40,-32,1907
"1908",-39,-26,-45,-40,-33,-25,-23,-33,-21,-30,-39,-39,-33,-33,-35,-39,-27,-30,1908
"1909",-58,-38,-42,-45,-42,-38,-32,-19,-22,-21,-18,-40,-35,-34,-45,-43,-30,-20,1909
"1910",-31,-32,-34,-34,-35,-33,-20,-24,-29,-32,-41,-55,-33,-32,-34,-34,-25,-34,1910
"1911",-52,-47,-49,-48,-41,-38,-23,-28,-25,-19,-17,-17,-34,-37,-51,-46,-30,-20,1911
"1912",-24,-12,-32,-19,-21,-19,-39,-52,-45,-52,-33,-35,-32,-31,-18,-24,-37,-43,1912
"1913",-37,-34,-38,-34,-38,-44,-28,-24,-27,-32,-20,-3,-30,-33,-35,-37,-32,-26,1913
"1914",-3,-10,-22,-25,-16,-17,-18,-14,-17,-1,-17,-16,-15,-14,-6,-21,-16,-12,1914
"1915",-22,-8,-15,0,-1,-2,-1,-12,-7,-20,-9,-19,-10,-9,-15,-5,-5,-12,1915
"1916",-17,-17,-33,-27,-33,-37,-29,-22,-28,-19,-37,-65,-30,-27,-18,-31,-29,-28,1916
"1917",-42,-53,-47,-40,-57,-37,-18,-23,-17,-38,-31,-69,-39,-39,-53,-48,-26,-29,1917
"1918",-51,-45,-29,-44,-47,-35,-27,-38,-23,-7,-21,-33,-33,-36,-55,-40,-33,-17,1918
