"","date","variable","value","value01"
"1",1967-07-01,"pce",507.4,0
"2",1967-08-01,"pce",510.5,0.000266000806583093
"3",1967-09-01,"pce",516.3,0.000763679735028872
"4",1967-10-01,"pce",512.9,0.000471936914905484
"5",1967-11-01,"pce",518.1,0.000918131816270673
"6",1967-12-01,"pce",525.8,0.00157884349713834
"7",1968-01-01,"pce",531.5,0.00206794175440403
"8",1968-02-01,"pce",534.2,0.00229961987626673
"9",1968-03-01,"pce",544.9,0.00321775169253739
"10",1968-04-01,"pce",544.6,0.0031920096789971
"11",1968-05-01,"pce",550.4,0.00368968860744287
"12",1968-06-01,"pce",556.8,0.00423885156296925
"13",1968-07-01,"pce",563.8,0.00483949854557623
"14",1968-08-01,"pce",567.6,0.00516556405042003
"15",1968-09-01,"pce",568.8,0.00526853210458122
"16",1968-10-01,"pce",572.3,0.00556885559588471
"17",1968-11-01,"pce",577.4,0.0060064698260698
"18",1968-12-01,"pce",577.2,0.0059893084837096
"19",1969-01-01,"pce",584.2,0.00658995546631658
"20",1969-02-01,"pce",589.5,0.00704473103886186
"21",1969-03-01,"pce",589.7,0.00706189238122206
"22",1969-04-01,"pce",594.7,0.00749092594022705
"23",1969-05-01,"pce",601.1,0.00804008889575343
"24",1969-06-01,"pce",601.7,0.00809157292283403
"25",1969-07-01,"pce",603.5,0.00824602500407582
"26",1969-08-01,"pce",610.8,0.00887241400022309
"27",1969-09-01,"pce",614.1,0.00915557614916639
"28",1969-10-01,"pce",619.4,0.00961035172171167
"29",1969-11-01,"pce",621.4,0.00978196514531367
"30",1969-12-01,"pce",623.7,0.00997932058245597
"31",1970-01-01,"pce",629.6,0.0104855801820818
"32",1970-02-01,"pce",634.9,0.0109403557546271
"33",1970-03-01,"pce",633.2,0.0107944843445654
"34",1970-04-01,"pce",637,0.0111205498494092
"35",1970-05-01,"pce",643.4,0.0116697128049356
"36",1970-06-01,"pce",647.2,0.0119957783097794
"37",1970-07-01,"pce",649.5,0.0121931337469217
"38",1970-08-01,"pce",653.9,0.0125706832788461
"39",1970-09-01,"pce",660.1,0.0131026848920123
"40",1970-10-01,"pce",659.3,0.0130340395225715
"41",1970-11-01,"pce",657.6,0.0128881681125098
"42",1970-12-01,"pce",666.6,0.0136604285187187
"43",1971-01-01,"pce",677.2,0.0145699796638093
"44",1971-02-01,"pce",680.4,0.0148445611415725
"45",1971-03-01,"pce",683,0.0150676585922551
"46",1971-04-01,"pce",689.8,0.0156511442325019
"47",1971-05-01,"pce",692.2,0.0158570803408243
"48",1971-06-01,"pce",700.8,0.0165950180623128
"49",1971-07-01,"pce",699.9,0.0165177920216919
"50",1971-08-01,"pce",706,0.017041212963678
"51",1971-09-01,"pce",714.1,0.0177362473292661
"52",1971-10-01,"pce",716.9,0.0179765061223089
"53",1971-11-01,"pce",722.1,0.0184227010236741
"54",1971-12-01,"pce",729.6,0.0190662513621816
"55",1972-01-01,"pce",732.6,0.0193236714975845
"56",1972-02-01,"pce",737.3,0.0197269630430492
"57",1972-03-01,"pce",750.4,0.0208510309676423
"58",1972-04-01,"pce",753.8,0.0211427737877657
"59",1972-05-01,"pce",759.2,0.0216061300314911
"60",1972-06-01,"pce",762.9,0.0219236148651548
"61",1972-07-01,"pce",771.2,0.022635810573103
"62",1972-08-01,"pce",777.7,0.0231935541998095
"63",1972-09-01,"pce",782.5,0.0236054264164543
"64",1972-10-01,"pce",796.3,0.0247895590393081
"65",1972-11-01,"pce",801.8,0.0252614959542135
"66",1972-12-01,"pce",807.5,0.0257505942114792
"67",1973-01-01,"pce",817.9,0.0266429840142096
"68",1973-02-01,"pce",827.2,0.0274409864339589
"69",1973-03-01,"pce",834.2,0.0280416334165658
"70",1973-04-01,"pce",837.2,0.0282990535519688
"71",1973-05-01,"pce",843.1,0.0288053131515947
"72",1973-06-01,"pce",845.8,0.0290369912734574
"73",1973-07-01,"pce",855.7,0.0298864777202873
"74",1973-08-01,"pce",854.9,0.0298178323508465
"75",1973-09-01,"pce",870.9,0.0311907397396624
"76",1973-10-01,"pce",869.8,0.0310963523566813
"77",1973-11-01,"pce",878.6,0.0318514514205301
"78",1973-12-01,"pce",878.4,0.0318342900781699
"79",1974-01-01,"pce",886.4,0.0325207437725779
"80",1974-02-01,"pce",891.6,0.0329669386739431
"81",1974-03-01,"pce",903.3,0.0339708772020147
"82",1974-04-01,"pce",912.7,0.0347774602929441
"83",1974-05-01,"pce",924.3,0.0357728181498357
"84",1974-06-01,"pce",929.9,0.0362533357359213
"85",1974-07-01,"pce",939.8,0.0371028221827511
"86",1974-08-01,"pce",956.6,0.0385443749410079
"87",1974-09-01,"pce",956.8,0.0385615362833681
"88",1974-10-01,"pce",961,0.0389219244729323
"89",1974-11-01,"pce",958,0.0386645043375293
"90",1974-12-01,"pce",963.6,0.0391450219236149
"91",1975-01-01,"pce",977.4,0.0403291545464686
"92",1975-02-01,"pce",991.3,0.0415218678405025
"93",1975-03-01,"pce",992.6,0.0416334165658438
"94",1975-04-01,"pce",997.2,0.0420281274401284
"95",1975-05-01,"pce",1021.2,0.0440874885233523
"96",1975-06-01,"pce",1029.1,0.0447653615465802
"97",1975-07-01,"pce",1042.2,0.0458894294711732
"98",1975-08-01,"pce",1049.4,0.0465072377961404
"99",1975-09-01,"pce",1057.2,0.0471765301481882
"100",1975-10-01,"pce",1063.2,0.0476913704189942
"101",1975-11-01,"pce",1078,0.0489613097536489
"102",1975-12-01,"pce",1094.4,0.0503685398271853
"103",1976-01-01,"pce",1109.5,0.0516642211753803
"104",1976-02-01,"pce",1110.1,0.0517157052024609
"105",1976-03-01,"pce",1117.3,0.0523335135274281
"106",1976-04-01,"pce",1127.8,0.0532344840013386
"107",1976-05-01,"pce",1125.1,0.0530028058794759
"108",1976-06-01,"pce",1142.9,0.0545301653495337
"109",1976-07-01,"pce",1152.1,0.0553195870981028
"110",1976-08-01,"pce",1160.5,0.0560403634772312
"111",1976-09-01,"pce",1171.4,0.0569756566358621
