"","id","time","study","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57"
"1",112,1,"MAPS",2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2
"2",85,1,"MAPS",1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2
"3",96,1,"MAPS",1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2
"4",81,1,"MAPS",1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,1,2,2,2
"5",146,1,"MAPS",1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,1,1
"6",48,1,"MAPS",1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,2,1,1,2
"7",14,1,"MAPS",1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2
"8",30,1,"MAPS",1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,NA,1,1,1,1,2,2,1,2,1,2,1
"9",52,1,"MAPS",1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",153,1,"MAPS",1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
