"","active","afraid","alert","angry","aroused","ashamed","astonished","at.ease","at.rest","attentive","blue","bored","calm","clutched.up","confident","content","delighted","depressed","determined","distressed","drowsy","dull","elated","energetic","enthusiastic","excited","fearful","frustrated","full.of.pep","gloomy","grouchy","guilty","happy","hostile","inspired","intense","interested","irritable","jittery","lively","lonely","nervous","placid","pleased","proud","quiescent","quiet","relaxed","sad","satisfied","scared","serene","sleepy","sluggish","sociable","sorry","still","strong","surprised","tense","tired","unhappy","upset","vigorous","wakeful","warmhearted","wide.awake","anxious","cheerful","idle","inactive","tranquil","alone","kindly","scornful","Extraversion","Neuroticism","Lie","Sociability","Impulsivity","gender","TOD","drug","film","time","id","form","study"
"1",2,0,2,0,0,0,0,2,2,2,0,1,2,0,2,2,2,0,2,0,1,0,1,2,1,2,0,0,2,0,0,0,2,0,1,0,1,0,1,1,0,0,1,2,1,2,1,2,0,2,0,2,0,1,2,0,1,2,0,0,1,0,0,1,2,2,2,1,2,0,0,2,NA,NA,NA,10,18,3,7,1,2,9,2,NA,1,1,2,"AGES"
"2",1,0,1,0,0,1,0,2,1,2,1,1,2,0,1,2,1,1,2,1,2,1,0,1,2,0,0,1,0,1,0,1,1,0,0,1,2,0,0,0,2,1,2,1,0,1,3,2,2,2,0,1,2,2,0,0,2,1,0,1,2,1,1,1,1,1,1,1,0,2,2,1,NA,NA,NA,15,8,3,9,4,2,9,1,NA,1,2,2,"AGES"
"3",1,0,1,0,1,0,0,2,1,1,0,2,2,0,2,2,2,0,1,0,2,1,1,0,1,1,0,1,0,0,1,1,2,0,0,0,1,1,0,1,0,1,2,1,2,2,3,2,1,2,0,1,3,3,1,0,1,2,0,1,3,0,0,0,2,2,0,2,2,1,1,2,NA,NA,NA,6,7,4,3,1,1,9,1,NA,1,3,2,"AGES"
"4",1,0,2,0,0,0,0,2,2,1,0,0,2,0,2,3,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,1,1,2,0,2,0,2,1,0,2,0,0,1,0,0,1,0,0,0,2,3,2,0,2,0,0,1,NA,NA,NA,15,8,1,11,4,2,9,2,NA,1,4,2,"AGES"
"5",1,0,2,0,1,0,0,3,2,2,0,0,3,0,2,2,1,0,1,0,0,0,0,2,2,2,0,0,1,0,0,0,2,0,1,1,1,0,1,1,0,0,3,2,1,2,1,2,0,3,0,3,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,2,0,0,3,NA,NA,NA,16,8,0,8,6,1,9,1,NA,1,5,2,"AGES"
"6",3,0,3,0,2,0,1,3,3,3,0,0,2,0,3,3,3,0,3,3,0,0,NA,3,3,3,0,0,3,0,0,0,3,0,2,2,2,0,0,3,0,0,0,3,3,0,0,3,0,3,0,0,0,0,3,0,1,2,1,0,0,0,0,1,3,3,3,1,3,1,0,1,NA,NA,NA,16,7,3,10,6,1,9,2,NA,1,6,2,"AGES"
"7",1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,3,2,0,0,1,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,2,0,2,0,1,2,2,1,0,2,0,0,0,2,0,0,0,0,2,0,0,1,1,2,1,NA,NA,NA,16,6,1,8,6,2,9,2,NA,1,7,2,"AGES"
"8",0,0,1,0,0,0,0,2,0,1,0,1,3,0,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,0,2,0,1,1,0,2,0,2,0,0,0,1,0,0,0,1,3,0,0,1,0,1,2,NA,NA,NA,19,4,4,10,6,2,9,1,NA,1,8,2,"AGES"
"9",3,0,3,0,3,0,1,0,0,2,1,1,0,2,2,1,1,0,2,2,0,0,1,2,2,3,0,1,3,1,0,0,1,1,0,3,2,1,3,2,3,1,1,1,1,0,2,0,1,1,1,0,0,0,3,0,1,2,1,3,0,0,0,3,3,2,3,3,1,0,0,0,NA,NA,NA,11,20,2,9,2,1,9,2,NA,1,9,2,"AGES"
"10",1,0,1,0,0,0,0,2,1,1,0,1,1,0,2,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0,2,0,1,0,0,2,0,2,0,0,1,1,2,0,1,0,0,0,1,0,0,0,1,2,1,0,1,1,1,1,NA,NA,NA,13,4,2,9,4,1,9,1,NA,1,10,2,"AGES"
"11",1,0,1,0,1,0,0,1,0,1,0,2,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,17,12,3,10,6,1,9,2,NA,1,11,2,"AGES"
