"","study","time","id","calm","secure","tense","regretful","at.ease","upset","worrying","rested","anxious","comfortable","confident","nervous","jittery","high.strung","relaxed","content","worried","rattled","joyful","pleasant"
"1","AGES",1,1,3,3,2,1,2,1,1,3,2,2,3,2,2,2,2,3,1,1,3,3
"2","AGES",1,2,3,3,2,2,3,2,1,1,2,3,2,2,1,1,2,3,2,1,1,2
"3","AGES",1,3,3,3,2,1,3,1,2,1,1,3,3,2,2,1,2,3,1,1,3,3
"4","AGES",1,4,3,3,1,1,3,1,1,2,1,3,4,1,2,1,3,4,1,1,2,3
"5","AGES",1,5,4,4,1,1,3,1,1,3,1,2,3,1,2,1,3,4,1,1,3,3
"6","AGES",1,6,4,4,1,1,4,1,1,4,2,4,4,1,1,3,3,4,1,1,4,4
"7","AGES",1,7,3,2,1,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2
"8","AGES",1,8,4,4,1,1,4,1,1,2,1,4,3,1,1,1,3,3,1,NA,2,2
"9","AGES",1,9,1,3,4,1,1,1,2,3,4,3,3,4,4,4,1,2,2,4,2,2
"10","AGES",1,10,3,3,1,1,2,1,2,2,1,3,3,1,1,1,3,2,1,1,2,3
"11","AGES",1,11,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2
"12","AGES",1,12,4,4,1,1,3,1,2,2,3,2,3,1,2,2,3,3,1,2,3,3
"13","AGES",1,13,3,3,1,1,3,1,1,3,1,3,2,1,1,1,3,3,1,1,2,3
"14","AGES",1,14,1,1,2,1,1,2,2,2,2,2,3,2,1,1,2,2,2,1,1,1
"15","AGES",1,15,2,4,1,1,3,1,1,3,1,3,4,1,1,1,3,4,1,1,2,3
"16","AGES",1,16,3,2,1,1,3,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1
"17","AGES",1,17,3,3,1,1,3,1,1,1,2,3,3,1,2,1,2,2,1,1,1,2
"18","AGES",1,18,2,1,2,2,2,1,3,2,2,2,2,3,1,3,2,1,3,1,1,1
"19","AGES",1,19,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20","AGES",1,20,4,2,1,2,3,1,1,2,1,3,2,1,2,1,2,3,1,1,3,3
"21","AGES",1,21,2,2,3,1,2,1,1,2,3,2,2,2,2,1,2,3,1,1,2,3
"22","AGES",1,22,3,3,2,1,3,2,1,2,3,3,3,2,4,3,2,2,1,3,2,3
"23","AGES",1,23,3,2,1,1,3,1,2,3,1,2,2,1,1,1,3,2,1,1,2,2
"24","AGES",1,24,2,2,3,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1
"25","AGES",1,25,4,3,1,1,4,1,1,1,1,3,2,1,1,1,3,2,1,1,2,2
"26","AGES",1,26,2,2,1,1,3,1,1,2,1,2,2,1,1,1,3,2,1,1,1,2
"27","AGES",1,27,3,2,2,1,2,3,2,1,1,1,2,1,1,3,2,2,1,1,1,2
"28","AGES",1,28,4,2,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,3,4
"29","AGES",1,29,2,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,1,1,1
"30","AGES",1,30,2,3,2,1,3,1,1,1,3,3,4,2,2,2,2,3,3,2,3,4
"31","AGES",1,31,2,2,1,1,3,1,2,2,1,3,3,1,1,1,3,2,2,1,2,2
"32","AGES",1,32,4,2,1,1,2,2,2,2,1,3,3,1,1,1,3,3,1,1,1,3
"33","AGES",1,33,2,3,1,1,3,1,1,2,2,2,3,2,1,2,2,2,1,2,3,3
"34","AGES",1,34,3,3,2,1,2,1,2,1,2,1,2,1,1,1,1,3,1,1,1,1
"35","AGES",1,35,2,3,4,1,2,3,3,2,3,2,3,2,3,3,2,2,3,1,2,2
"36","AGES",1,36,4,4,1,1,4,1,1,1,1,4,3,1,1,1,4,4,1,1,3,4
"37","AGES",1,37,3,2,1,1,3,1,2,3,2,3,2,1,2,1,3,3,2,1,2,3
"38","AGES",1,38,2,1,2,4,1,4,4,1,4,1,2,3,3,3,1,1,4,3,1,4
"39","AGES",1,39,4,4,1,1,4,1,1,2,1,3,4,1,1,1,3,3,1,1,2,3
"40","AGES",1,40,4,4,2,2,3,2,1,2,1,2,4,2,2,1,4,3,2,1,1,3
"41","AGES",1,41,3,3,1,1,4,1,1,1,1,2,3,1,3,1,3,3,1,1,1,2
"42","AGES",1,42,2,2,2,1,2,1,4,2,2,2,2,2,2,2,2,2,1,1,2,2
"43","AGES",1,43,4,4,1,2,4,1,2,2,1,3,3,1,2,1,3,3,2,1,2,3
"44","AGES",1,44,3,2,2,1,2,1,2,2,1,2,2,1,1,1,3,2,2,1,1,2
"45","AGES",1,45,3,3,1,1,3,1,1,2,1,3,3,1,1,1,3,3,1,1,3,3
"46","AGES",1,46,3,3,2,1,2,2,3,1,2,1,2,2,1,2,2,2,3,1,1,2
"47","AGES",1,47,2,3,2,1,3,2,3,2,2,3,3,2,1,1,2,2,1,1,2,2
"48","AGES",1,48,2,2,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2
"49","AGES",1,49,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,3,1,1,3,3
"50","AGES",1,50,4,3,2,1,3,1,2,3,1,3,3,1,1,1,3,4,2,1,3,3
"51","AGES",1,51,2,4,3,3,2,2,4,1,3,3,3,2,2,2,2,2,2,1,1,2
"52","AGES",1,52,4,4,1,1,4,1,1,3,1,3,4,1,1,1,4,4,1,1,3,4
"53","AGES",1,53,2,3,3,2,3,2,4,1,2,2,3,2,2,1,2,2,3,1,1,1
"54","AGES",1,54,2,2,3,1,2,3,2,2,3,2,2,3,1,3,2,2,3,1,2,2
"55","AGES",1,55,2,3,1,1,3,1,1,1,1,3,2,1,1,1,3,3,1,1,2,3
"56","AGES",1,56,4,4,2,1,4,1,1,2,1,4,4,2,2,1,3,4,1,1,1,4
"57","AGES",1,57,3,3,1,1,3,1,1,3,1,3,2,1,1,1,2,2,1,1,1,1
"58","AGES",1,58,3,3,1,1,3,2,1,3,1,3,3,1,1,1,3,3,2,1,3,3
"59","AGES",1,59,2,3,2,1,2,1,1,1,3,1,3,1,2,1,2,3,2,1,1,2
"60","AGES",1,60,3,4,1,1,3,1,2,2,1,3,4,1,1,1,2,3,1,1,2,2
"61","AGES",1,61,3,3,2,1,2,1,2,3,2,3,3,2,2,2,2,3,3,2,2,3
"62","AGES",1,62,4,2,1,1,4,2,1,1,2,4,2,1,1,1,4,3,1,1,1,2
"63","AGES",1,63,2,3,2,1,1,1,2,1,2,1,2,2,2,2,1,2,3,2,1,1
"64","AGES",1,64,4,4,1,1,4,1,2,1,1,4,4,1,1,1,4,3,1,1,2,2
"65","AGES",1,66,4,4,1,1,3,1,1,1,1,3,3,1,1,1,4,4,1,1,3,3
"66","AGES",1,67,1,3,4,1,1,2,4,2,4,2,3,4,4,4,1,3,4,4,2,3
"67","AGES",1,68,2,2,2,1,2,1,4,4,3,2,2,2,2,3,2,2,3,2,1,2
"68","AGES",1,69,1,4,1,1,3,1,1,3,1,3,4,1,4,4,1,2,1,1,4,4
