"","study","time","id","pleasant","nervous","not.satisfied","wish.happy","failure","rested","calm","difficulties","worry","happy","disturbing.thoughts","lack.self.confidence","secure","decisive","inadequate","content","thoughts.bother","disappointments","steady","tension"
"1","AGES","1",1,4,1,1,1,1,3,3,1,1,4,2,1,4,4,1,4,2,2,4,1
"2","AGES","1",2,3,2,2,2,3,2,2,4,3,3,4,3,3,3,2,3,3,3,3,2
"3","AGES","1",3,3,2,2,2,1,3,3,2,2,3,1,2,3,3,2,3,2,2,3,1
"4","AGES","1",4,3,1,1,2,2,3,3,2,3,4,2,2,4,1,2,4,2,1,4,1
"5","AGES","1",5,4,2,1,1,1,2,3,2,2,4,1,2,4,4,1,3,1,1,4,1
"6","AGES","1",6,4,1,1,1,1,4,4,1,1,4,1,1,4,4,1,4,1,4,4,2
"7","AGES","1",7,3,2,1,1,2,2,2,2,3,3,2,2,2,2,1,3,3,3,3,2
"8","AGES","1",8,4,2,1,1,1,3,3,2,2,4,3,2,4,2,1,NA,2,2,3,2
"9","AGES","1",9,2,2,2,1,1,3,4,2,1,2,3,3,2,2,3,2,1,3,3,3
"10","AGES","1",10,3,2,1,1,2,2,3,2,2,3,1,1,4,2,1,3,2,1,3,1
"11","AGES","1",11,2,2,1,1,1,2,2,1,2,2,1,1,3,1,1,2,1,1,2,1
"12","AGES","1",12,3,1,2,2,1,2,3,2,2,3,1,1,3,4,2,3,2,1,4,2
"13","AGES","1",13,4,1,1,1,1,3,4,1,2,4,2,1,4,2,2,4,2,1,4,2
"14","AGES","1",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","AGES","1",15,4,1,1,1,1,4,4,1,2,4,1,1,4,2,1,4,2,1,4,1
"16","AGES","1",16,4,1,1,1,1,4,4,1,1,4,1,1,4,1,1,4,2,1,4,1
"17","AGES","1",17,3,2,2,1,1,2,2,1,3,3,2,2,3,2,1,3,2,1,3,1
"18","AGES","1",18,2,4,3,4,2,2,2,3,2,2,3,2,2,4,3,2,2,3,1,3
"19","AGES","1",19,4,1,2,1,1,3,4,1,1,3,1,1,4,1,2,3,1,1,4,1
"20","AGES","1",20,3,2,2,3,2,2,3,2,2,3,3,2,2,3,2,3,2,2,3,2
"21","AGES","1",21,3,1,1,2,1,1,3,2,2,3,2,1,2,2,1,2,1,1,3,1
"22","AGES","1",22,3,2,1,1,1,3,3,2,2,3,2,1,4,2,2,3,2,2,3,2
"23","AGES","1",23,3,2,1,2,3,2,3,2,3,3,1,3,2,2,2,3,2,1,3,2
"24","AGES","1",24,3,2,1,2,2,1,2,3,3,3,3,2,2,4,1,2,1,1,2,1
"25","AGES","1",25,3,3,3,3,2,2,3,4,2,3,2,3,2,3,3,3,3,2,2,2
"26","AGES","1",26,2,3,2,2,3,1,1,3,3,1,4,4,1,3,3,2,3,3,1,3
"27","AGES","1",27,3,3,1,2,4,1,3,2,1,2,1,2,3,1,1,3,1,1,3,3
"28","AGES","1",28,3,1,1,1,1,3,3,1,1,3,1,1,4,2,1,3,1,1,3,1
"29","AGES","1",29,2,2,2,3,2,2,2,3,4,2,3,4,1,3,3,2,2,3,2,3
"30","AGES","1",30,4,2,2,2,1,2,4,1,2,3,1,1,3,4,1,3,3,1,3,2
"31","AGES","1",31,3,2,2,2,1,2,3,2,3,3,4,2,2,3,2,3,2,2,3,2
"32","AGES","1",32,3,2,2,2,3,2,2,2,3,3,3,2,3,2,2,3,3,2,3,2
"33","AGES","1",33,3,2,1,2,2,2,3,2,3,3,2,2,3,3,2,3,2,2,3,2
"34","AGES","1",34,2,2,2,3,1,2,3,1,3,3,3,2,2,2,2,4,3,2,3,1
"35","AGES","1",35,4,1,2,2,1,2,2,2,2,3,2,1,3,2,2,3,2,2,3,3
"36","AGES","1",36,4,2,1,1,1,2,3,1,2,4,3,2,3,3,2,4,3,2,3,2
